AUTHOR,TITLE,YEAR,SOURCE,DIVISION,PUB_TYPE,KEYWORDS,LINK
Tohoku Regional Fisheries Research Laboratory,"Atlas of skipjack tuna fishing grounds in southern waters, 1973 fishing season (July 1973-May 1974)",,"(Showa 48 nendo nanpo katsuo gyokyo) [Five pages text, 14 charts.] (Engl. transl., 1974, 22 p., Transl. No. 7)",,Translation,,
"Yoshimura Industry Co., Ltd.","How to preserve freshness in tunas, Part II [Shime shime maguro (sashimi-y.o) no tsukurikata]",,"Yoshimura Industry Co., Ltd., [Osaka, Japan]. 34 p. (Engl. transl. by T. Otsu, 1987, 53 p., Transl. No. 122)",,Translation,,
Tanaka T,"Atlas of skipjack tuna fishing grounds in southern waters, 1976 fishing season (July 1976-April 1977).",,"Tohoku Regional Fisheries Research Laboratory. [Six pages text, 14 charts.] (Engl. transl., 1977, 30 p., Transl. No. 23).",,Translation,,
Tanaka T,"Atlas of skipjack tuna fishing grounds in southern waters, 1975 fishing season (June 1975-May 1976) (Nanpo kaiiki ni okeru katsuo gyojyozu). Showa 50 nendo). ",,"Tohoku Regional Fisheries Research Laboratory [Five pages text, 15 charts.]. (Engl. transl. by T. Otsu, 1976, 25 p., Transl. No. 15).",,Translation,,
Tanaka T,"Atlas of skipjack tuna fishing grounds in southern waters, 1974 fishing season (July 1974-May 1975) (Nanpo kaiiki ni okeru katsuo gyojyozu, Showa 49 nendo).",,"Tohoku Regional Fisheries Research Laboratory [Four pages text, 13 charts]. (Engl. transl. by Tamio Otsu, 1975, 24 p., Transl. No. 14).",,Translation,,
"Ruzicka J, Chiaverano L, Coll M, Garrido S Tam J,Murase H, Robinson K, Romagnoni G, Shannon L, Silva A, Szalaj D, Watari S",The role of small pelagic fish in diverse ecosystems: knowledge gleaned from food-web models,2025,Mar Ecol Prog Ser: SPF2av9. Contribution to the Theme Section ‘Small pelagic fish: new research frontiers’,ESD,Journal,,https://doi.org/10.3354/meps14513.
"Gaos AR, Martin SL, Allen C, Ishimaru S, Johnson D, Jones TT",2013-2023 Final Report: Sea Turtle Surveys and Tracking in the Mariana Islands Training and Testing (MITT) study area,2024,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-24-08, 46 p",PSD,Data Report,,https://doi.org/10.25923/0vr3-9722
"Spence T, Robinson S, Amlin A, Hawn L, Barbieri M, Mercer T, Durbin H, Korte T, Barnes S, Files M",Monitoring Hawaiian monk seal behavior at aquaculture net pens,2024,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-24-07, 6 p",PSD,Internal Report,,
"Allen AN, Harvey M, Harrell L, Wood M, Szesciorka AR, McCullough JLK and Oleson EM","Bryde’s whales produce Biotwang calls, which occur seasonally in long-term acoustic recordings from the central and western North Pacific",2024,Front. Mar. Sci. 11:1394695,PSD,Journal,,https://doi.org/10.3389/fmars.2024.1394695
"Wallmo K, Kleiber D, Tomberlin D, Woodworth-Jefcoats P and Oliver T",The Diversity of Science Behind U.S. Seafood,2024,Front. Young Minds. 12:1331893,ESD,Journal,,https://kids.frontiersin.org/articles/10.3389/frym.2024.1331893/full
"Lennert-Cody CE, De La Cadena C, McCracken M, Chompoy L, Vogel NW, Maunder MN, Wiley BA, Nieto EA, Aires-da-Silva A",Within-well patterns in bigeye tuna catch composition and implications for purse-seine port-sampling and catch estimation for the Eastern Pacific Ocean,2024,Fisheries Research. 277: 107079,FRMD,Journal,,https://doi.org/10.1016/j.fishres.2024.107079.
Wood R,PIFSC Guidance on Internal Review and Approval of Fundamental Research Communications,2024,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-24-05, 38 p",ESD:FRMD:OMID:PSD,Internal Report,,
"Morris JT, Huntington B, Couch C. et al","Long-term outcomes of passive and active restoration approaches following a vessel grounding in Hawaii, USA",2024,Coral Reefs,ESD,Journal,,https://doi.org/10.1007/s00338-024-02529-1
"Ayers A, Leong K, Hospital J, Tam C, Morioka R",2023 Hawai‘i fisher observations data summary and analysis Department of Commerce,2024,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-24-09, 30 p",ESD,Data Report,,https://doi.org/10.25923/yyfz-a677
"McCracken M, Cooper B","Estimation of Bycatch with Bony Fish, Sharks, and Rays in the 2023 Hawai'i Permitted Deep-set Longline Fishery",2024,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-24-11, 3 p",FRMD,Data Report,,https://doi.org/10.25923/25ff-7y63
"McCracken M, Cooper B","Hawaiʻi Longline Fishery 2023 Seabird and Sea Turtle Bycatch for the Entire Fishing Grounds, Within the IATTC Convention Area, and Seabird Bycatch to the North of 23° N and 23 °N–30° S",2024,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-24-10, 9 p",FRMD,Data Report,,https://doi.org/10.25923/njsk-2c78
"Bohaboy EC, Matthews T","Stock Assessment Update of the Bottomfish Management Unit Species of Guam, 2024",2024,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-162, 65 p",FRMD,Tech Memo,,https://doi.org/10.25923/rmxw-gh78
"Shaw KR, Whitney JL, Nalley EM, Schmidbauer MC, Donahue MJ, Black J, Corniuk RN, Teague K, Sandquist R, Pirkle C, Dacks R, Sudnovsky M, Lynch JM",Microplastics absent from reef fish in the Marshall Islands: Multistage screening methods reduced false positives,2024,"Marine Pollution Bulletin,198",ESD,Journal,,https://doi.org/10.1016/j.marpolbul.2023.115820
"Gomes DGE, Ruzicka JJ, Crozier LG, et al",Marine heatwaves disrupt ecosystem structure and function via altered food webs and energy flux,2024,"Nat Commun 15, 1988",ESD,Journal,,https://doi.org/10.1038/s41467-024-46263-2
Bigelow K,Catch and effort of U.S. purse seine vessels inside and outside U.S. EEZ,2024,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-24-04, 13 p",FRMD,Data Report,,https://doi.org/10.25923/jnma-xz97
"Reum JCP, Woodworth-Jefcoats P, Novaglio C, Forestier R, Audzijonyte A, Gårdmark A, Lindmark M, Blanchard JL",Temperature-Dependence Assumptions Drive Projected Responses of Diverse Size-Based Food Webs to Warming,2024,"Earth's Future, 12, e2023EF003852",ESD,Journal,,https://doi.org/10.1029/2023EF003852
"Perelman JN, Tanaka KR, Smith JN. et al.",Subsurface temperature estimates from a Regional Ocean Modelling System (ROMS) reanalysis provide accurate coral heat stress indices across the Main Hawaiian Islands,2024,"Sci Rep 14, 6620",ESD,Journal,,https://doi.org/10.1038/s41598-024-56865-x
"Protected Species Division, Marine Turtle Biology and Assessment Program",Tail Lengths Punaluu Data Request to MTBAP,2024,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-24-04, 1 p",PSD,Internal Report,,
"Humphreys RL, Brodziak JKT",Reproductive dynamics of striped marlin (Kajikia audax) in the central North Pacific,2024,"Marine and Freshwater Research 75, MF23192",FRMD,Journal,,https://doi.org/10.1071/MF23192
"Kleiber D, Chow M, Brown M",NOAA Fisheries Equity and Environmental Justice Internal Workshop Guide,2024,"Pacific Islands Fisheries Science Center, PIFSC Special Publication, SP-24-01, 45 p",ESD,Special Publication,,https://doi.org/10.25923/n7zd-6254
"Dahl K, O'Malley J, Barnett B, Kline B, Widdrington J","Otolith morphometry and Fourier transform near-infrared (FT-NIR) spectroscopy as tools to discriminate archived otoliths of newly detected cryptic species, Etelis carbunculus and Etelis boweni",2024,"Fisheries Research, 272",FRMD,Journal,,https://doi.org/10.1016/j.fishres.2023.106927
"Advani, et al","Estimating the scope, scale, and contribution of direct seafood marketing to the United States seafood sector",2024,Marine Policy. 165:106188,ESD,Journal,,https://doi.org/10.1016/j.marpol.2024.106188
"Long CA, Ahrens RNM, Jones TT and Siders ZA",A machine learning approach for protected species bycatch estimation,2024,Front. Mar. Sci. 11:1331292,FRMD,Journal,,https://doi.org/10.3389/fmars.2024.1331292
Chan HL,Economic Contributions of Small Boat Fisheries in Guam and the CNMI,2024,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-160, 29 p",ESD,Tech Memo,,https://doi.org/10.25923/nsxb-my70
"Syslo J, Oshima M, Ma H, Ducharme-Barth N, Nadon M, Carvalho F",Benchmark stock assessment for the main Hawaiian Islands Deep 7 bottomfish complex in 2024 with catch projections through 2029,2024,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-157, 178 p",FRMD,Tech Memo,,https://doi.org/10.25923/5ssg-8d54
"McCoy K, Kindinger T",Assessment of Coral Reef Fishes Inside and Outside of Guam's Piti Bomb Holes Marine Preserve,2024,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-24-03, 34 p",ESD,Data Report,,https://doi.org/10.25923/73w2-j904
Pacific Islands Fisheries Science Center,Priorities and Annual Guidance Memo for Fiscal Year 2025,2024,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-24-03, 10 p",OMID,Internal Report,,
"Ayers A, Leong K, Hospital J, Tam C, Morioka R",2023 American Samoa fisher observations data summary and analysis,2024,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-24-13, 23 p",ESD,Data Report,,https://doi.org/10.25923/x85x-0y72
"Hsu, J, Chang Y, Brodziak J, Kai M, Punt AE",On the probable distribution of stock-recruitment resilience of Pacific saury (Cololabis saira) in the Northwest Pacific Ocean,2024,"Journal of Marine Science, 2024;, fsae030",FRMD,Journal,,https://doi.org/10.1093/icesjms/fsae030
Pacific Islands Fisheries Science Center,Report to the 200th Meeting of the Western Pacific Regional Fishery Management Council,2024,"Pacific Islands Fisheries Science Center, PIFSC Special Publication, SP-24-04, 16 p",SOD,Special Publication,,https://doi.org/10.25923/9vd1-gv44
"Ahrens R, Crigler E","Observer coverage levels and the precision
of take estimates",2024,"Pacific Islands Fisheries Science Center, PIFSC Administrative Report, H-24-01, 10 p",FRMD,Admin Report,,https://doi.org/10.25923/ne62-n866
O'Malley JM,Sampling Design and Guidance for Collection of Biological Samples from Incidentally Caught Pelagic Fish Species by the Hawaii-based Longline Fleets,2024,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-24-01, 22 p",FRMD,Internal Report,,
"Huntington B, Couch CS, Morris JT, Ruseborn SL",Study Design and Analytical Guidance for Assessing Restoration Success following Vessel Groundings on Coral Reefs,2024,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-156, 30 p",ESD:OMID,Tech Memo,,https://doi.org/10.25923/d38j-7c34
"Kleiber D, Terry J, Elliot S, Selgrath, J, et al",NOAA and Demographic Data Collection,2024,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-163, 77 p",ESD,Tech Memo,,https://doi.org/10.25923/kw71-b226
"Ayers A, Leong K, Hospital J, Tam C, Morioka R",2023 Guam and CNMI Fisher Observations Data Summary and Analysis,2024,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-24-12, 20 p",ESD,Data Report,,https://doi.org/10.25923/zh4f-4k39
"Torres-Pulliza D, Charendoff J, Couch CS, Suka R, Gray A, Lichowski F, Amir C, Lamirand M, Asbury M, Winston M, Basden I, Oliver T",Processing Coral Reef Imagery Using Structure-from-Motion Photogrammetry: Standard Operating Procedures (2023 Update),2024,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-159, 91 p",ESD,Tech Memo,,https://doi.org/10.25923/cydj-z260
"Cooper B, McCracken M","Estimation of Bycatch with Bony Fish, Sharks, and Rays in the 2023 Hawaiʻi Permitted Shallow-set Longline Fishery",2024,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-24-07, 3 p",FRMD,Data Report,,https://doi.org/10.25923/m7p4-q849
"Brooks EN, Brodziak JKT",Simulation testing performance of ensemble models when catch data are underreported,2024,"ICES Journal of Marine Science, 2024;, fsae067",FRMD,Journal,,https://doi.org/10.1093/icesjms/fsae067
"Stahl J, Tucker J, Rassel L, Hawn L",Data Collectable Using Electronic Monitoring Systems Compared to At-Sea Observers in the Hawaiʻi Longline Fisheries,2024,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-24-02, 41 p",FRMD,Data Report,,https://doi.org/10.25923/eewf-gz02
"Siders ZA, Murray C, Puloka C, Harley S, Duffy C, Long CA, Ahrens RNM and Jones TT",Potential of dynamic ocean management strategies for western Pacific leatherback sea turtle bycatch mitigation in New Zealand,2024,Front. Mar. Sci. 11:1342475,FRMD,Journal,,https://doi.org/10.3389/fmars.2024.1342475
"Konrad L, Levine A, Leong KM, Koethe F",Understanding perceptions that drive conflict over the endangered Hawaiian monk seal,2024,Front. Conserv. Sci. 5:1394063.,ESD,Journal,,https://doi.org/10.3389/fcosc.2024.1394063
"Leong KM, Gramza AR, Duberstein JN, Bryson C, Amlin A",Using applied social science disciplines to implement creative outdoor cat management solutions and avoid the trap of one-size-fits-all policies,2024,"Conservation Biology, e14321",ESD,Journal,,https://doi.org/10.1111/cobi.14321
"Pacific Island Fisheries Science Center, Protected Species Division","Marine Turtle Biology and Assessment Program, Final Programmatic Environmental Assessment",2024,PIFSC publication. 433 p.,PSD,Special Publication,,https://doi.org/10.25923/yf87-7574
McCracken M,"Estimation of Bycatch with Seabirds, Sea Turtles, Bony Fish, Sharks, and Rays in the 2023 Permitted American Sāmoa Longline Fishery",2024,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-24-06, 3 p",FRMD,Data Report,,https://doi.org/10.25923/yy14-wf97
"McPherson L, Badger J, Fertitta K. et al",Quantifying the abundance and survival rates of island-associated spinner dolphins using a multi-state open robust design model,2024,Sci Rep 14,PSD,Journal,,https://doi.org/10.1038/s41598-024-64220-3
"Fisk JJ, Leong KM, Berl REW, Long JW, Landon AC, Adams MM, Hankins DL, Williams CK, Lake FK, Salerno J",Evolving wildlife management cultures of governance through Indigenous Knowledges and perspectives,2024,Journal of Wildlife Management e22584.,ESD,Journal,,https://doi.org/10.1002/jwmg.22584
"Perelman JN, Tanaka KR, Suca JJ, Oliver TA, Gajdzik L",Modeling tools to help assess the distribution of priority reef fish species for jurisdictional coral reef fishery management plans in Guam,2024,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-158, 42 p",ESD,Tech Memo,,https://doi.org/10.25923/v50k-pc85
"Parnell K, Merkens K, Huetz C, Charrier I, Robinson SJ, Pacini A, Bejder L",Underwater soundscapes within critical habitats of the endangered Hawaiian monk seal: implications for conservation,2024,Endang Species Res 54:311-329,PSD,Journal,,https://doi.org/10.3354/esr01336
Pacific Reef Assessment and Monitoring Program,"Fish Monitoring Brief: Hawai‘i, 2024",2024,"Pacific Islands Fisheries Science Center, PIFSC Special Publication, SP-24-02, 2 p",ESD,Special Publication,,https://doi.org/10.25923/r5y4-1w71
"Mercer, T",2023 Ni’ihau Monk Seal Survey Summary Report,2024,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-24-01, 5 p",PSD,Data Report,,https://doi.org/10.25923/1dd2-5f14
"Himmelsbach NS, Suca J.J, Timmers MA, Asher JM, Boland RC, Kamikawa KT, Samson JC, Whitney JL","Diet Analysis of Mahimahi (Coryphaena spp.) Caught on O'ahu, Hawai'i, Using DNA Barcoding",2024,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-164, 41 p",ESD,Tech Memo,,https://doi.org/10.25923/7z9f-xt14
"Murakawa SK, Gaos AR, Johnson DS, Peck B, MacDonald M, Sachs E, Pendleton F, Allen CD, Staman MK, Ishimaru S, Van Houtan KS, Liusamoa A, Jones TT and Martin SL","Abundance, production, and migrations of nesting green turtles at Rose Atoll, American Samoa, a regionally important rookery in the Central South Pacific Ocean",2024,Front. Mar. Sci. 11:1403240,FRMD:PSD,Journal,,https://doi.org/10.3389/fmars.2024.1403240
